p min 40422 98256
a 12439 40422 5.0000000
a 1 12440 5.0000000
a 12440 12441 -2.9999982
a 12441 40422 5.0000000
a 1 12442 5.0000000
a 12442 12443 -2.9999982
a 12443 40422 5.0000000
a 1 12444 5.0000000
a 12444 12445 -2.9999982
a 12445 40422 5.0000000
a 1 12446 5.0000000
a 12446 12447 -2.9999982
a 12447 40422 5.0000000
a 1 12448 5.0000000
a 12448 12449 -2.9999982
a 12449 40422 5.0000000
a 1 12450 5.0000000
a 12450 12451 -2.9999982
a 12451 40422 5.0000000
a 1 12452 5.0000000
a 12452 12453 -2.9999982
a 12453 40422 5.0000000
a 1 12454 5.0000000
a 12454 12455 -2.9999982
a 12455 40422 5.0000000
a 1 12456 5.0000000
a 12456 12457 -2.9999982
a 12457 40422 5.0000000
a 1 12458 5.0000000
a 12458 12459 -2.9999982
a 12459 40422 5.0000000
a 1 12460 5.0000000
a 12460 12461 -2.9999982
a 12461 40422 5.0000000
a 1 12462 5.0000000
a 12462 12463 -2.9999982
a 12463 40422 5.0000000
a 1 12464 5.0000000
a 12464 12465 -2.9999982
a 12465 40422 5.0000000
a 1 12466 5.0000000
a 12466 12467 -2.9999982
a 12467 40422 5.0000000
a 1 12468 5.0000000
a 12468 12469 -2.9999982
a 12469 40422 5.0000000
a 1 12470 5.0000000
a 12470 12471 -2.9999982
a 12471 40422 5.0000000
a 1 12472 5.0000000
a 12472 12473 -2.9999982
a 12473 40422 5.0000000
a 1 12474 5.0000000
a 12474 12475 -2.9999982
a 12475 40422 5.0000000
a 1 12476 5.0000000
a 12476 12477 -2.9999982
a 12477 40422 5.0000000
a 1 12478 5.0000000
a 12478 12479 -2.9999982
a 12479 40422 5.0000000
a 1 12480 5.0000000
a 12480 12481 -2.9999982
a 12481 40422 5.0000000
a 1 12482 5.0000000
a 12482 12483 -2.9999981
a 12483 40422 5.0000000
a 1 12484 5.0000000
a 12484 12485 -2.9999981
a 12485 40422 5.0000000
a 1 12486 5.0000000
a 12486 12487 -2.9999981
a 12487 40422 5.0000000
a 1 12488 5.0000000
a 12488 12489 -2.9999980
a 12489 40422 5.0000000
a 1 12490 5.0000000
a 12490 12491 -2.9999979
a 12491 40422 5.0000000
a 1 12492 5.0000000
a 12492 12493 -2.9999975
a 12493 40422 5.0000000
a 1 12494 5.0000000
a 12494 12495 -2.9999041
a 12495 40422 5.0000000
a 1 12496 5.0000000
a 12496 12497 -2.9894665
a 12497 40422 5.0000000
a 1 12498 5.0000000
a 12498 12499 -2.7991152
a 12499 40422 5.0000000
a 1 12500 5.0000000
a 12500 12501 -2.4627354
a 12501 40422 5.0000000
a 1 12502 5.0000000
a 12502 12503 -2.4343241
a 12503 40422 5.0000000
a 1 12504 5.0000000
a 12504 12505 -2.9999982
a 12505 40422 5.0000000
a 1 12506 5.0000000
a 12506 12507 -2.9999982
a 12507 40422 5.0000000
a 1 12508 5.0000000
a 12508 12509 -2.9999982
a 12509 40422 5.0000000
a 1 12510 5.0000000
a 12510 12511 -2.9999982
a 12511 40422 5.0000000
a 1 12512 5.0000000
a 12512 12513 -2.9999982
a 12513 40422 5.0000000
a 1 12514 5.0000000
a 12514 12515 -2.9999982
a 12515 40422 5.0000000
a 1 12516 5.0000000
a 12516 12517 -2.9999982
a 12517 40422 5.0000000
a 1 12518 5.0000000
a 12518 12519 -2.9999982
a 12519 40422 5.0000000
a 1 12520 5.0000000
a 12520 12521 -2.9999982
a 12521 40422 5.0000000
a 1 12522 5.0000000
a 12522 12523 -2.9999982
a 12523 40422 5.0000000
a 1 12524 5.0000000
a 12524 12525 -2.9999982
a 12525 40422 5.0000000
a 1 12526 5.0000000
a 12526 12527 -2.9999982
a 12527 40422 5.0000000
a 1 12528 5.0000000
a 12528 12529 -2.9999982
a 12529 40422 5.0000000
a 1 12530 5.0000000
a 12530 12531 -2.9999982
a 12531 40422 5.0000000
a 1 12532 5.0000000
a 12532 12533 -2.9999982
a 12533 40422 5.0000000
a 1 12534 5.0000000
a 12534 12535 -2.9999982
a 12535 40422 5.0000000
a 1 12536 5.0000000
a 12536 12537 -2.9999982
a 12537 40422 5.0000000
a 1 12538 5.0000000
a 12538 12539 -2.9999982
a 12539 40422 5.0000000
a 1 12540 5.0000000
a 12540 12541 -2.9999982
a 12541 40422 5.0000000
a 1 12542 5.0000000
a 12542 12543 -2.9999982
a 12543 40422 5.0000000
a 1 12544 5.0000000
a 12544 12545 -2.9999982
a 12545 40422 5.0000000
a 1 12546 5.0000000
a 12546 12547 -2.9999982
a 12547 40422 5.0000000
a 1 12548 5.0000000
a 12548 12549 -2.9999982
a 12549 40422 5.0000000
a 1 12550 5.0000000
a 12550 12551 -2.9999982
a 12551 40422 5.0000000
a 1 12552 5.0000000
a 12552 12553 -2.9999982
a 12553 40422 5.0000000
a 1 12554 5.0000000
a 12554 12555 -2.9999982
a 12555 40422 5.0000000
a 1 12556 5.0000000
a 12556 12557 -2.9999982
a 12557 40422 5.0000000
a 1 12558 5.0000000
a 12558 12559 -2.9999982
a 12559 40422 5.0000000
a 1 12560 5.0000000
a 12560 12561 -2.9999982
a 12561 40422 5.0000000
a 1 12562 5.0000000
a 12562 12563 -2.9999981
a 12563 40422 5.0000000
a 1 12564 5.0000000
a 12564 12565 -2.9999981
a 12565 40422 5.0000000
a 1 12566 5.0000000
a 12566 12567 -2.9999981
a 12567 40422 5.0000000
a 1 12568 5.0000000
a 12568 12569 -2.9999980
a 12569 40422 5.0000000
a 1 12570 5.0000000
a 12570 12571 -2.9999980
a 12571 40422 5.0000000
a 1 12572 5.0000000
a 12572 12573 -2.9999964
a 12573 40422 5.0000000
a 1 12574 5.0000000
a 12574 12575 -2.9999924
a 12575 40422 5.0000000
a 1 12576 5.0000000
a 12576 12577 -2.9997567
a 12577 40422 5.0000000
a 1 12578 5.0000000
a 12578 12579 -2.9987156
a 12579 40422 5.0000000
a 1 12580 5.0000000
a 12580 12581 -2.9858163
a 12581 40422 5.0000000
a 1 12582 5.0000000
a 12582 12583 -2.9559582
a 12583 40422 5.0000000
a 1 12584 5.0000000
a 12584 12585 -2.9153177
a 12585 40422 5.0000000
a 1 12586 5.0000000
a 12586 12587 -2.6888849
a 12587 40422 5.0000000
a 1 12588 5.0000000
a 12588 12589 -1.6940019
a 12589 40422 5.0000000
a 1 12590 5.0000000
a 12590 12591 -2.9999982
a 12591 40422 5.0000000
a 1 12592 5.0000000
a 12592 12593 -2.9999982
a 12593 40422 5.0000000
a 1 12594 5.0000000
a 12594 12595 -2.9999982
a 12595 40422 5.0000000
a 1 12596 5.0000000
a 12596 12597 -2.9999982
a 12597 40422 5.0000000
a 1 12598 5.0000000
a 12598 12599 -2.9999982
a 12599 40422 5.0000000
a 1 12600 5.0000000
a 12600 12601 -2.9999982
a 12601 40422 5.0000000
a 1 12602 5.0000000
a 12602 12603 -2.9999982
a 12603 40422 5.0000000
a 1 12604 5.0000000
a 12604 12605 -2.9999982
a 12605 40422 5.0000000
a 1 12606 5.0000000
a 12606 12607 -2.9999982
a 12607 40422 5.0000000
a 1 12608 5.0000000
a 12608 12609 -2.9999982
a 12609 40422 5.0000000
a 1 12610 5.0000000
a 12610 12611 -2.9999982
a 12611 40422 5.0000000
a 1 12612 5.0000000
a 12612 12613 -2.9999982
a 12613 40422 5.0000000
a 1 12614 5.0000000
a 12614 12615 -2.9999982
a 12615 40422 5.0000000
a 1 12616 5.0000000
a 12616 12617 -2.9999982
a 12617 40422 5.0000000
a 1 12618 5.0000000
a 12618 12619 -2.9999982
a 12619 40422 5.0000000
a 1 12620 5.0000000
a 12620 12621 -2.9999982
a 12621 40422 5.0000000
a 1 12622 5.0000000
a 12622 12623 -2.9999982
a 12623 40422 5.0000000
a 1 12624 5.0000000
a 12624 12625 -2.9999982
a 12625 40422 5.0000000
a 1 12626 5.0000000
a 12626 12627 -2.9999982
a 12627 40422 5.0000000
a 1 12628 5.0000000
a 12628 12629 -2.9999982
a 12629 40422 5.0000000
a 1 12630 5.0000000
a 12630 12631 -2.9999982
a 12631 40422 5.0000000
a 1 12632 5.0000000
a 12632 12633 -2.9999982
a 12633 40422 5.0000000
a 1 12634 5.0000000
a 12634 12635 -2.9999982
a 12635 40422 5.0000000
a 1 12636 5.0000000
a 12636 12637 -2.9999982
a 12637 40422 5.0000000
a 1 12638 5.0000000
a 12638 12639 -2.9999982
a 12639 40422 5.0000000
a 1 12640 5.0000000
a 12640 12641 -2.9999982
a 12641 40422 5.0000000
a 1 12642 5.0000000
a 12642 12643 -2.9999982
a 12643 40422 5.0000000
a 1 12644 5.0000000
a 12644 12645 -2.9999982
a 12645 40422 5.0000000
a 1 12646 5.0000000
a 12646 12647 -2.9999982
a 12647 40422 5.0000000
a 1 12648 5.0000000
a 12648 12649 -2.9999981
a 12649 40422 5.0000000
a 1 12650 5.0000000
a 12650 12651 -2.9999981
a 12651 40422 5.0000000
a 1 12652 5.0000000
a 12652 12653 -2.9999981
a 12653 40422 5.0000000
a 1 12654 5.0000000
a 12654 12655 -2.9999981
a 12655 40422 5.0000000
a 1 12656 5.0000000
a 12656 12657 -2.9999980
a 12657 40422 5.0000000
a 1 12658 5.0000000
a 12658 12659 -2.9999979
a 12659 40422 5.0000000
a 1 12660 5.0000000
a 12660 12661 -2.9999964
a 12661 40422 5.0000000
a 1 12662 5.0000000
a 12662 12663 -2.9999955
a 12663 40422 5.0000000
a 1 12664 5.0000000
a 12664 12665 -2.9999899
a 12665 40422 5.0000000
a 1 12666 5.0000000
a 12666 12667 -2.9961891
a 12667 40422 5.0000000
a 1 12668 5.0000000
a 12668 12669 -2.9062765
a 12669 40422 5.0000000
a 1 12670 5.0000000
a 12670 12671 -2.8753157
a 12671 40422 5.0000000
a 1 12672 5.0000000
a 12672 12673 -2.8665543
a 12673 40422 5.0000000
a 1 12674 5.0000000
a 12674 12675 -2.6255050
a 12675 40422 5.0000000
a 1 12676 5.0000000
a 12676 12677 -1.5299704
a 12677 40422 5.0000000
a 1 12678 5.0000000
a 12678 12679 -1.1606871
a 12679 40422 5.0000000
a 1 12680 5.0000000
a 12680 12681 -2.9999982
a 12681 40422 5.0000000
a 1 12682 5.0000000
a 12682 12683 -2.9999982
a 12683 40422 5.0000000
a 1 12684 5.0000000
a 12684 12685 -2.9999982
a 12685 40422 5.0000000
a 1 12686 5.0000000
a 12686 12687 -2.9999982
a 12687 40422 5.0000000
a 1 12688 5.0000000
a 12688 12689 -2.9999982
a 12689 40422 5.0000000
a 1 12690 5.0000000
a 12690 12691 -2.9999982
a 12691 40422 5.0000000
a 1 12692 5.0000000
a 12692 12693 -2.9999982
a 12693 40422 5.0000000
a 1 12694 5.0000000
a 12694 12695 -2.9999982
a 12695 40422 5.0000000
a 1 12696 5.0000000
a 12696 12697 -2.9999982
a 12697 40422 5.0000000
a 1 12698 5.0000000
a 12698 12699 -2.9999982
a 12699 40422 5.0000000
a 1 12700 5.0000000
a 12700 12701 -2.9999982
a 12701 40422 5.0000000
a 1 12702 5.0000000
a 12702 12703 -2.9999982
a 12703 40422 5.0000000
a 1 12704 5.0000000
a 12704 12705 -2.9999982
a 12705 40422 5.0000000
a 1 12706 5.0000000
a 12706 12707 -2.9999982
a 12707 40422 5.0000000
a 1 12708 5.0000000
a 12708 12709 -2.9999982
a 12709 40422 5.0000000
a 1 12710 5.0000000
a 12710 12711 -2.9999982
a 12711 40422 5.0000000
a 1 12712 5.0000000
a 12712 12713 -2.9999982
a 12713 40422 5.0000000
a 1 12714 5.0000000
a 12714 12715 -2.9999982
a 12715 40422 5.0000000
a 1 12716 5.0000000
a 12716 12717 -2.9999982
a 12717 40422 5.0000000
a 1 12718 5.0000000
a 12718 12719 -2.9999982
a 12719 40422 5.0000000
a 1 12720 5.0000000
a 12720 12721 -2.9999982
a 12721 40422 5.0000000
a 1 12722 5.0000000
a 12722 12723 -2.9999982
a 12723 40422 5.0000000
a 1 12724 5.0000000
a 12724 12725 -2.9999982
a 12725 40422 5.0000000
a 1 12726 5.0000000
a 12726 12727 -2.9999982
a 12727 40422 5.0000000
a 1 12728 5.0000000
a 12728 12729 -2.9999982
a 12729 40422 5.0000000
a 1 12730 5.0000000
a 12730 12731 -2.9999982
a 12731 40422 5.0000000
a 1 12732 5.0000000
a 12732 12733 -2.9999982
a 12733 40422 5.0000000
a 1 12734 5.0000000
a 12734 12735 -2.9999982
a 12735 40422 5.0000000
a 1 12736 5.0000000
a 12736 12737 -2.9999982
a 12737 40422 5.0000000
a 1 12738 5.0000000
a 12738 12739 -2.9999981
a 12739 40422 5.0000000
a 1 12740 5.0000000
a 12740 12741 -2.9999981
a 12741 40422 5.0000000
a 1 12742 5.0000000
a 12742 12743 -2.9999980
a 12743 40422 5.0000000
a 1 12744 5.0000000
a 12744 12745 -2.9999980
a 12745 40422 5.0000000
a 1 12746 5.0000000
a 12746 12747 -2.9999978
a 12747 40422 5.0000000
a 1 12748 5.0000000
a 12748 12749 -2.9999963
a 12749 40422 5.0000000
a 1 12750 5.0000000
a 12750 12751 -2.9999742
a 12751 40422 5.0000000
a 1 12752 5.0000000
a 12752 12753 -2.9998149
a 12753 40422 5.0000000
a 1 12754 5.0000000
a 12754 12755 -2.9996220
a 12755 40422 5.0000000
a 1 12756 5.0000000
a 12756 12757 -2.9877918
a 12757 40422 5.0000000
a 1 12758 5.0000000
a 12758 12759 -2.6164408
a 12759 40422 5.0000000
a 1 12760 5.0000000
a 12760 12761 -2.6043796
a 12761 40422 5.0000000
a 1 12762 5.0000000
a 12762 12763 -1.3617767
a 12763 40422 5.0000000
a 1 12764 5.0000000
a 12764 12765 -1.2322050
a 12765 40422 5.0000000
a 1 12766 5.0000000
a 12766 12767 -2.9999982
a 12767 40422 5.0000000
a 1 12768 5.0000000
a 12768 12769 -2.9999982
a 12769 40422 5.0000000
a 1 12770 5.0000000
a 12770 12771 -2.9999982
a 12771 40422 5.0000000
a 1 12772 5.0000000
a 12772 12773 -2.9999982
a 12773 40422 5.0000000
a 1 12774 5.0000000
a 12774 12775 -2.9999982
a 12775 40422 5.0000000
a 1 12776 5.0000000
a 12776 12777 -2.9999982
a 12777 40422 5.0000000
a 1 12778 5.0000000
a 12778 12779 -2.9999982
a 12779 40422 5.0000000
a 1 12780 5.0000000
a 12780 12781 -2.9999982
a 12781 40422 5.0000000
a 1 12782 5.0000000
a 12782 12783 -2.9999982
a 12783 40422 5.0000000
a 1 12784 5.0000000
a 12784 12785 -2.9999982
a 12785 40422 5.0000000
a 1 12786 5.0000000
a 12786 12787 -2.9999982
a 12787 40422 5.0000000
a 1 12788 5.0000000
a 12788 12789 -2.9999982
a 12789 40422 5.0000000
a 1 12790 5.0000000
a 12790 12791 -2.9999982
a 12791 40422 5.0000000
a 1 12792 5.0000000
a 12792 12793 -2.9999982
a 12793 40422 5.0000000
a 1 12794 5.0000000
a 12794 12795 -2.9999982
a 12795 40422 5.0000000
a 1 12796 5.0000000
a 12796 12797 -2.9999982
a 12797 40422 5.0000000
a 1 12798 5.0000000
a 12798 12799 -2.9999982
a 12799 40422 5.0000000
a 1 12800 5.0000000
a 12800 12801 -2.9999982
a 12801 40422 5.0000000
a 1 12802 5.0000000
a 12802 12803 -2.9999982
a 12803 40422 5.0000000
a 1 12804 5.0000000
a 12804 12805 -2.9999982
a 12805 40422 5.0000000
a 1 12806 5.0000000
a 12806 12807 -2.9999982
a 12807 40422 5.0000000
a 1 12808 5.0000000
a 12808 12809 -2.9999982
a 12809 40422 5.0000000
a 1 12810 5.0000000
a 12810 12811 -2.9999982
a 12811 40422 5.0000000
a 1 12812 5.0000000
a 12812 12813 -2.9999982
a 12813 40422 5.0000000
a 1 12814 5.0000000
a 12814 12815 -2.9999982
a 12815 40422 5.0000000
a 1 12816 5.0000000
a 12816 12817 -2.9999982
a 12817 40422 5.0000000
a 1 12818 5.0000000
a 12818 12819 -2.9999982
a 12819 40422 5.0000000
a 1 12820 5.0000000
a 12820 12821 -2.9999982
a 12821 40422 5.0000000
a 1 12822 5.0000000
a 12822 12823 -2.9999982
a 12823 40422 5.0000000
a 1 12824 5.0000000
a 12824 12825 -2.9999981
a 12825 40422 5.0000000
a 1 12826 5.0000000
a 12826 12827 -2.9999981
a 12827 40422 5.0000000
a 1 12828 5.0000000
a 12828 12829 -2.9999980
a 12829 40422 5.0000000
a 1 12830 5.0000000
a 12830 12831 -2.9999980
a 12831 40422 5.0000000
a 1 12832 5.0000000
a 12832 12833 -2.9999978
a 12833 40422 5.0000000
a 1 12834 5.0000000
a 12834 12835 -2.9999973
a 12835 40422 5.0000000
a 1 12836 5.0000000
a 12836 12837 -2.9999973
a 12837 40422 5.0000000
a 1 12838 5.0000000
a 12838 12839 -2.9999969
a 12839 40422 5.0000000
a 1 12840 5.0000000
a 12840 12841 -2.9992466
a 12841 40422 5.0000000
a 1 12842 5.0000000
a 12842 12843 -2.9984216
a 12843 40422 5.0000000
a 1 12844 5.0000000
a 12844 12845 -2.6832417
a 12845 40422 5.0000000
a 1 12846 5.0000000
a 12846 12847 -2.9999982
a 12847 40422 5.0000000
a 1 12848 5.0000000
a 12848 12849 -2.9999982
a 12849 40422 5.0000000
a 1 12850 5.0000000
a 12850 12851 -2.9999982
a 12851 40422 5.0000000
a 1 12852 5.0000000
a 12852 12853 -2.9999982
a 12853 40422 5.0000000
a 1 12854 5.0000000
a 12854 12855 -2.9999982
a 12855 40422 5.0000000
a 1 12856 5.0000000
a 12856 12857 -2.9999982
a 12857 40422 5.0000000
a 1 12858 5.0000000
a 12858 12859 -2.9999982
a 12859 40422 5.0000000
a 1 12860 5.0000000
a 12860 12861 -2.9999982
a 12861 40422 5.0000000
a 1 12862 5.0000000
a 12862 12863 -2.9999982
a 12863 40422 5.0000000
a 1 12864 5.0000000
a 12864 12865 -2.9999982
a 12865 40422 5.0000000
a 1 12866 5.0000000
a 12866 12867 -2.9999982
a 12867 40422 5.0000000
a 1 12868 5.0000000
a 12868 12869 -2.9999982
a 12869 40422 5.0000000
a 1 12870 5.0000000
a 12870 12871 -2.9999982
a 12871 40422 5.0000000
a 1 12872 5.0000000
a 12872 12873 -2.9999982
a 12873 40422 5.0000000
a 1 12874 5.0000000
a 12874 12875 -2.9999982
a 12875 40422 5.0000000
a 1 12876 5.0000000
a 12876 12877 -2.9999982
a 12877 40422 5.0000000
a 1 12878 5.0000000
a 12878 12879 -2.9999982
a 12879 40422 5.0000000
a 1 12880 5.0000000
a 12880 12881 -2.9999982
a 12881 40422 5.0000000
a 1 12882 5.0000000
a 12882 12883 -2.9999982
a 12883 40422 5.0000000
a 1 12884 5.0000000
a 12884 12885 -2.9999982
a 12885 40422 5.0000000
a 1 12886 5.0000000
a 12886 12887 -2.9999982
a 12887 40422 5.0000000
a 1 12888 5.0000000
a 12888 12889 -2.9999982
a 12889 40422 5.0000000
a 1 12890 5.0000000
a 12890 12891 -2.9999982
a 12891 40422 5.0000000
a 1 12892 5.0000000
a 12892 12893 -2.9999982
a 12893 40422 5.0000000
a 1 12894 5.0000000
a 12894 12895 -2.9999982
a 12895 40422 5.0000000
a 1 12896 5.0000000
a 12896 12897 -2.9999982
a 12897 40422 5.0000000
a 1 12898 5.0000000
a 12898 12899 -2.9999982
a 12899 40422 5.0000000
a 1 12900 5.0000000
a 12900 12901 -2.9999982
a 12901 40422 5.0000000
a 1 12902 5.0000000
a 12902 12903 -2.9999981
a 12903 40422 5.0000000
a 1 12904 5.0000000
a 12904 12905 -2.9999981
a 12905 40422 5.0000000
a 1 12906 5.0000000
a 12906 12907 -2.9999981
a 12907 40422 5.0000000
a 1 12908 5.0000000
a 12908 12909 -2.9999981
a 12909 40422 5.0000000
a 1 12910 5.0000000
a 12910 12911 -2.9999980
a 12911 40422 5.0000000
a 1 12912 5.0000000
a 12912 12913 -2.9999980
a 12913 40422 5.0000000
a 1 12914 5.0000000
a 12914 12915 -2.9999977
a 12915 40422 5.0000000
a 1 12916 5.0000000
a 12916 12917 -2.9999974
a 12917 40422 5.0000000
a 1 12918 5.0000000
a 12918 12919 -2.9999971
a 12919 40422 5.0000000
a 1 12920 5.0000000
a 12920 12921 -2.9999407
a 12921 40422 5.0000000
a 1 12922 5.0000000
a 12922 12923 -2.9999079
a 12923 40422 5.0000000
a 1 12924 5.0000000
a 12924 12925 -2.9979527
a 12925 40422 5.0000000
a 1 12926 5.0000000
a 12926 12927 -2.7681999
a 12927 40422 5.0000000
a 1 12928 5.0000000
a 12928 12929 -2.9999982
a 12929 40422 5.0000000
a 1 12930 5.0000000
a 12930 12931 -2.9999982
a 12931 40422 5.0000000
a 1 12932 5.0000000
a 12932 12933 -2.9999982
a 12933 40422 5.0000000
a 1 12934 5.0000000
a 12934 12935 -2.9999982
a 12935 40422 5.0000000
a 1 12936 5.0000000
a 12936 12937 -2.9999982
a 12937 40422 5.0000000
a 1 12938 5.0000000
a 12938 12939 -2.9999982
a 12939 40422 5.0000000
a 1 12940 5.0000000
a 12940 12941 -2.9999982
a 12941 40422 5.0000000
a 1 12942 5.0000000
a 12942 12943 -2.9999982
a 12943 40422 5.0000000
a 1 12944 5.0000000
a 12944 12945 -2.9999982
a 12945 40422 5.0000000
a 1 12946 5.0000000
a 12946 12947 -2.9999982
a 12947 40422 5.0000000
a 1 12948 5.0000000
a 12948 12949 -2.9999982
a 12949 40422 5.0000000
a 1 12950 5.0000000
a 12950 12951 -2.9999982
a 12951 40422 5.0000000
a 1 12952 5.0000000
a 12952 12953 -2.9999982
a 12953 40422 5.0000000
a 1 12954 5.0000000
a 12954 12955 -2.9999982
a 12955 40422 5.0000000
a 1 12956 5.0000000
a 12956 12957 -2.9999982
a 12957 40422 5.0000000
a 1 12958 5.0000000
a 12958 12959 -2.9999982
a 12959 40422 5.0000000
a 1 12960 5.0000000
a 12960 12961 -2.9999982
a 12961 40422 5.0000000
a 1 12962 5.0000000
a 12962 12963 -2.9999982
a 12963 40422 5.0000000
a 1 12964 5.0000000
a 12964 12965 -2.9999982
a 12965 40422 5.0000000
a 1 12966 5.0000000
a 12966 12967 -2.9999982
a 12967 40422 5.0000000
a 1 12968 5.0000000
a 12968 12969 -2.9999982
a 12969 40422 5.0000000
a 1 12970 5.0000000
a 12970 12971 -2.9999982
a 12971 40422 5.0000000
a 1 12972 5.0000000
a 12972 12973 -2.9999982
a 12973 40422 5.0000000
a 1 12974 5.0000000
a 12974 12975 -2.9999982
a 12975 40422 5.0000000
a 1 12976 5.0000000
a 12976 12977 -2.9999982
a 12977 40422 5.0000000
a 1 12978 5.0000000
a 12978 12979 -2.9999982
a 12979 40422 5.0000000
a 1 12980 5.0000000
a 12980 12981 -2.9999982
a 12981 40422 5.0000000
a 1 12982 5.0000000
a 12982 12983 -2.9999982
a 12983 40422 5.0000000
a 1 12984 5.0000000
a 12984 12985 -2.9999982
a 12985 40422 5.0000000
a 1 12986 5.0000000
a 12986 12987 -2.9999981
a 12987 40422 5.0000000
a 1 12988 5.0000000
a 12988 12989 -2.9999981
a 12989 40422 5.0000000
a 1 12990 5.0000000
a 12990 12991 -2.9999981
a 12991 40422 5.0000000
a 1 12992 5.0000000
a 12992 12993 -2.9999978
a 12993 40422 5.0000000
a 1 12994 5.0000000
a 12994 12995 -2.9999976
a 12995 40422 5.0000000
a 1 12996 5.0000000
a 12996 12997 -2.9999973
a 12997 40422 5.0000000
a 1 12998 5.0000000
a 12998 12999 -2.9999966
a 12999 40422 5.0000000
a 1 13000 5.0000000
a 13000 13001 -2.9999923
a 13001 40422 5.0000000
a 1 13002 5.0000000
a 13002 13003 -2.9999883
a 13003 40422 5.0000000
a 1 13004 5.0000000
a 13004 13005 -2.9999748
a 13005 40422 5.0000000
a 1 13006 5.0000000
a 13006 13007 -2.9997925
a 13007 40422 5.0000000
a 1 13008 5.0000000
a 13008 13009 -2.5006084
a 13009 40422 5.0000000
a 1 13010 5.0000000
a 13010 13011 -2.4550190
a 13011 40422 5.0000000
a 1 13012 5.0000000
a 13012 13013 -2.9999982
a 13013 40422 5.0000000
a 1 13014 5.0000000
a 13014 13015 -2.9999982
a 13015 40422 5.0000000
a 1 13016 5.0000000
a 13016 13017 -2.9999982
a 13017 40422 5.0000000
a 1 13018 5.0000000
a 13018 13019 -2.9999982
a 13019 40422 5.0000000
a 1 13020 5.0000000
a 13020 13021 -2.9999982
a 13021 40422 5.0000000
a 1 13022 5.0000000
a 13022 13023 -2.9999982
a 13023 40422 5.0000000
a 1 13024 5.0000000
a 13024 13025 -2.9999982
a 13025 40422 5.0000000
a 1 13026 5.0000000
a 13026 13027 -2.9999982
a 13027 40422 5.0000000
a 1 13028 5.0000000
a 13028 13029 -2.9999982
a 13029 40422 5.0000000
a 1 13030 5.0000000
a 13030 13031 -2.9999982
a 13031 40422 5.0000000
a 1 13032 5.0000000
a 13032 13033 -2.9999982
a 13033 40422 5.0000000
a 1 13034 5.0000000
a 13034 13035 -2.9999982
a 13035 40422 5.0000000
a 1 13036 5.0000000
a 13036 13037 -2.9999982
a 13037 40422 5.0000000
a 1 13038 5.0000000
a 13038 13039 -2.9999982
a 13039 40422 5.0000000
a 1 13040 5.0000000
a 13040 13041 -2.9999982
a 13041 40422 5.0000000
a 1 13042 5.0000000
a 13042 13043 -2.9999982
a 13043 40422 5.0000000
a 1 13044 5.0000000
a 13044 13045 -2.9999982
a 13045 40422 5.0000000
a 1 13046 5.0000000
a 13046 13047 -2.9999982
a 13047 40422 5.0000000
a 1 13048 5.0000000
a 13048 13049 -2.9999982
a 13049 40422 5.0000000
a 1 13050 5.0000000
a 13050 13051 -2.9999982
a 13051 40422 5.0000000
a 1 13052 5.0000000
a 13052 13053 -2.9999982
a 13053 40422 5.0000000
a 1 13054 5.0000000
a 13054 13055 -2.9999982
a 13055 40422 5.0000000
a 1 13056 5.0000000
a 13056 13057 -2.9999982
a 13057 40422 5.0000000
a 1 13058 5.0000000
a 13058 13059 -2.9999982
a 13059 40422 5.0000000
a 1 13060 5.0000000
a 13060 13061 -2.9999982
a 13061 40422 5.0000000
a 1 13062 5.0000000
a 13062 13063 -2.9999982
a 13063 40422 5.0000000
a 1 13064 5.0000000
a 13064 13065 -2.9999982
a 13065 40422 5.0000000
a 1 13066 5.0000000
a 13066 13067 -2.9999982
a 13067 40422 5.0000000
a 1 13068 5.0000000
a 13068 13069 -2.9999981
a 13069 40422 5.0000000
a 1 13070 5.0000000
a 13070 13071 -2.9999981
a 13071 40422 5.0000000
a 1 13072 5.0000000
a 13072 13073 -2.9999981
a 13073 40422 5.0000000
a 1 13074 5.0000000
a 13074 13075 -2.9999979
a 13075 40422 5.0000000
a 1 13076 5.0000000
a 13076 13077 -2.9999978
a 13077 40422 5.0000000
a 1 13078 5.0000000
a 13078 13079 -2.9999952
a 13079 40422 5.0000000
a 1 13080 5.0000000
a 13080 13081 -2.9999936
a 13081 40422 5.0000000
a 1 13082 5.0000000
a 13082 13083 -2.9999756
a 13083 40422 5.0000000
a 1 13084 5.0000000
a 13084 13085 -2.9999542
a 13085 40422 5.0000000
a 1 13086 5.0000000
a 13086 13087 -2.9999138
a 13087 40422 5.0000000
a 1 13088 5.0000000
a 13088 13089 -2.9969584
a 13089 40422 5.0000000
a 1 13090 5.0000000
a 13090 13091 -2.8620683
a 13091 40422 5.0000000
a 1 13092 5.0000000
a 13092 13093 -2.1006169
a 13093 40422 5.0000000
a 1 13094 5.0000000
a 13094 13095 -1.7959203
a 13095 40422 5.0000000
a 1 13096 5.0000000
a 13096 13097 -2.9999982
a 13097 40422 5.0000000
a 1 13098 5.0000000
a 13098 13099 -2.9999982
a 13099 40422 5.0000000
a 1 13100 5.0000000
a 13100 13101 -2.9999982
a 13101 40422 5.0000000
a 1 13102 5.0000000
a 13102 13103 -2.9999982
a 13103 40422 5.0000000
a 1 13104 5.0000000
a 13104 13105 -2.9999982
